best_match_score,__id_left,__id_right,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,short_name,long_name,club_name,league_name,pace,shooting,passing,dribbling,defending,physic,player_positions
0.3043301738042089,1969_left,513_right,6528,Loren Morón,36,2013,10,7.6566243497654805,2,2.7074477188289165,51,17,2,1,F S,Real Betis,10,7.6566243497654805,10.834604167379439,2.0900061074644327,Loren,Lorenzo Jesús Morón García,Real Betis,Spain Primera Division,73.0,81.0,60.0,77.0,36.0,74.0,ST
0.5599411531363228,1970_left,35_right,2270,Antoine Griezmann,35,2574,9,8.262417173013091,4,4.691107992082834,55,33,2,0,F M S,Barcelona,9,8.262417173013091,19.23114466480911,8.703454604372384,A. Griezmann,Antoine Griezmann,FC Barcelona,Spain Primera Division,79.0,85.0,84.0,88.0,57.0,72.0,"ST, CF, LW"
0.7618263145676313,1971_left,358_right,5232,Alexander Isak,37,1474,9,8.358875419944527,1,2.5289357006549835,44,14,4,0,F S,Real Sociedad,9,8.358875419944527,9.927118256688116,2.0546590453013778,A. Isak,Alexander Isak,Real Sociedad,Spain Primera Division,82.0,80.0,65.0,78.0,28.0,69.0,ST
0.06330801931580414,1972_left,928_right,6570,Óscar Rodríguez,30,1937,9,4.9170829309150585,2,2.9286210499703884,62,31,5,1,F M S,Leganes,7,3.430527656339109,6.6323493802919975,2.8161691091954713,Óscar,Óscar Rodríguez Arnaiz,Sevilla FC,Spain Primera Division,63.0,73.0,74.0,78.0,49.0,58.0,"CAM, CM, RM"
0.5099512861871219,1973_left,399_right,6955,Ezequiel Ávila,20,1597,9,8.280091857537629,2,3.989530114922673,70,22,6,0,F S,Osasuna,9,8.280091857537629,12.755436537787318,2.0181346451863647,E. Ávila,Luis Ezequiel Ávila,CA Osasuna,Spain Primera Division,82.0,81.0,65.0,78.0,48.0,83.0,"ST, RM"
0.005981677890460605,1974_left,145_right,222,Arturo Vidal,33,1645,8,5.743407223373652,2,3.4481149278581142,25,23,4,0,F M S,Barcelona,8,5.743407223373652,15.894737672060726,8.083311188966036,A. Vidal,Arturo Erasmo Vidal Pardo,Inter,Italian Serie A,65.0,79.0,79.0,78.0,83.0,86.0,"CM, CDM, CAM"
0.39564079433709254,1975_left,311_right,2148,Joaquín,34,2090,8,6.193383297882974,3,5.542067240923643,34,61,4,0,F M S,Real Betis,6,3.963678351603448,12.628123693168163,5.559414276853204,Joaquín,Joaquín Sánchez Rodríguez,Real Betis,Spain Primera Division,69.0,79.0,83.0,80.0,44.0,57.0,"LM, RM"
0.4197285103560648,1976_left,460_right,2183,Rubén García,30,2212,8,7.364760588854551,2,4.19025797303766,56,49,6,0,F M S,Osasuna,7,6.621482994407415,13.874091569334269,6.456713251769543,Rubén García,Rubén García Santos,CA Osasuna,Spain Primera Division,78.0,76.0,79.0,80.0,38.0,57.0,"LM, ST, CAM"
0.09231796319264605,1977_left,784_right,2252,Borja Mayoral,34,2147,8,10.319091159850359,2,3.678015971556306,48,24,2,0,F S,Levante,8,10.319091159850359,17.214190535247322,4.92754820920527,Borja Mayoral,Borja Mayoral Moya,Real Madrid,Spain Primera Division,67.0,76.0,69.0,77.0,38.0,68.0,ST
-0.052982674263903934,1978_left,442_right,2285,Fabián Orellana,29,2408,8,7.871263228356838,7,5.6581591460853815,42,48,9,1,F M S,Eibar,4,4.154875185340643,9.269529012031851,2.554041636176408,F. Orellana,Fabián Ariel Orellana Valenzuela,Real Valladolid CF,Spain Primera Division,73.0,75.0,78.0,81.0,40.0,44.0,"RM, LM, CAM"
0.0905047539996507,1979_left,317_right,2378,Daniel Parejo,35,3049,8,6.132803933694959,3,4.405116523616017,34,57,4,1,M,Valencia,3,1.673266151919961,11.47132785525173,10.588568963110447,D. Wass,Daniel Wass,Valencia CF,Spain Primera Division,75.0,77.0,80.0,77.0,77.0,76.0,"RB, RM, CM"
0.7562690446185001,1980_left,499_right,5169,Youssef En-Nesyri,36,2155,8,7.479582412168384,2,0.7203045152127743,61,11,3,0,F S,"Leganes,Sevilla",8,7.479582412168384,8.093434002250433,1.2357214260846376,Y. En-Nesyri,Youssef En-Nesyri,Sevilla FC,Spain Primera Division,76.0,77.0,54.0,77.0,34.0,76.0,ST
0.5258398847994692,1981_left,759_right,5212,Sergi Guardiola,35,2676,8,6.839583521708846,2,2.0864323331043124,57,17,6,0,F S,Real Valladolid,8,6.096305912360549,10.760452087968588,3.7284871134907007,Sergi Guardiola,Sergio Guardiola Navarro,Real Valladolid CF,Spain Primera Division,74.0,75.0,61.0,78.0,30.0,77.0,ST
0.42027819602505356,1982_left,861_right,2311,Roberto Soldado,33,2411,7,5.552098533138633,4,4.238067662343384,33,28,14,0,F S,Granada,6,4.808820901438594,7.693534339778125,1.7238717982545495,Soldado,Roberto Soldado Rillo,Granada CF,Spain Primera Division,54.0,78.0,71.0,73.0,44.0,68.0,ST
0.49128524270374047,1983_left,895_right,3211,Martin Braithwaite,35,2340,7,9.670963495969774,2,2.8578462041914463,55,17,4,0,F M S,"Barcelona,Leganes",7,8.927813794463873,12.631042383611202,3.825137125328183,M. Braithwaite,Martin Braithwaite Christensen,FC Barcelona,Spain Primera Division,80.0,75.0,70.0,77.0,35.0,74.0,"ST, LM"
0.7460559525593361,1984_left,138_right,3667,Nabil Fekir,32,2678,7,6.814645889215171,4,2.716234901919961,102,41,6,2,F M S,Real Betis,6,6.071368279866874,10.877142939716578,4.9789453744888315,N. Fekir,Nabil Fekir,Real Betis,Spain Primera Division,79.0,82.0,81.0,87.0,38.0,79.0,"CAM, RM, ST"
0.47811499263397905,1985_left,583_right,4226,Darwin Machís,36,2108,7,6.886147224344312,6,4.003064286895096,72,40,5,0,F M S,Granada,6,6.142869614996016,9.982243048027158,2.9561564875766635,D. Machís,Darwin Daniel Machís Marcano,Granada CF,Spain Primera Division,86.0,77.0,74.0,80.0,38.0,67.0,"LM, ST"
0.332257303970594,1986_left,744_right,5093,Roberto Torres,36,2722,7,8.458940664306281,8,6.676296317949891,79,42,1,0,M S,Osasuna,2,4.7425525207072505,12.045985647477211,5.200028453953563,Roberto Torres,Roberto Torres Morales,CA Osasuna,Spain Primera Division,66.0,78.0,78.0,75.0,65.0,71.0,"RM, CM"
-0.011204490508866264,1987_left,358_right,6118,Portu,35,2393,7,6.1838743314147,8,5.506048761308193,41,35,5,0,F M S,Real Sociedad,7,5.44059669226408,12.195213058963418,2.5363196050748233,A. Isak,Alexander Isak,Real Sociedad,Spain Primera Division,82.0,80.0,65.0,78.0,28.0,69.0,ST
0.5083522053452396,1988_left,401_right,6217,Enis Bardhi,30,2119,7,5.245582517236472,2,2.6947754714637995,58,32,5,0,M S,Levante,7,5.245582517236472,9.655657818540929,3.300680473446846,E. Bardhi,Enis Bardhi,Levante UD,Spain Primera Division,76.0,81.0,78.0,82.0,63.0,58.0,"LM, CM"
-0.11031964103926521,1989_left,754_right,7863,Antonio Puertas,36,2569,7,7.17150111682713,3,3.9357936987653375,44,19,7,0,F M S,Granada,7,7.17150111682713,11.956226408481598,3.093478448688984,Puertas,Antonio José Rodríguez Díaz,Granada CF,Spain Primera Division,78.0,76.0,72.0,75.0,44.0,74.0,"RM, LM"
0.5954230861105534,1990_left,760_right,7967,Anssumane Fati,24,1022,7,3.727758526802063,1,2.4623251780867577,33,18,2,1,F M S,Barcelona,7,3.727758526802063,8.803462440147996,3.984252968803048,Ansu Fati,Anssumane Fati,FC Barcelona,Spain Primera Division,88.0,71.0,68.0,79.0,29.0,53.0,"LW, RW"
0.5417924798900606,1991_left,95_right,2266,Saúl Ñíguez,35,3094,6,5.039977325126528,0,1.0740378117188811,44,15,10,0,D M,Atletico Madrid,4,3.5534221064299345,14.956590987741947,12.784209947101774,Saúl,Saúl Ñíguez Esclápez,Atlético Madrid,Spain Primera Division,68.0,79.0,79.0,81.0,78.0,79.0,"CM, LM, LB"
-0.08010606340978121,1992_left,1610_right,2339,Charles,30,1288,6,4.96254063397646,0,0.9234764650464058,25,12,8,0,F S,Eibar,5,3.4759854152798653,3.5669859088957314,0.6520516732707621,C. Traoré,Charles Traoré,FC Nantes,French Ligue 1,71.0,36.0,56.0,67.0,72.0,76.0,LB
-0.11029719679326053,1993_left,813_right,2384,Santi Mina,34,1940,6,7.204821178689599,3,3.38931042701006,47,20,4,0,F M S,Celta Vigo,6,7.204821178689599,11.792334930971265,3.4571682140231133,Santi Mina,Santiago Mina Lorenzo,RC Celta,Spain Primera Division,76.0,74.0,69.0,76.0,53.0,71.0,"ST, RW"
0.6342421968771068,1994_left,227_right,2399,Iñaki Williams,38,2987,6,7.77431464754045,1,2.483550379052758,48,26,3,0,F M S,Athletic Club,5,6.288143744692206,11.869578663259745,4.030380323529244,Iñaki Williams,Iñaki Williams Arthuer,Athletic Club de Bilbao,Spain Primera Division,94.0,79.0,72.0,78.0,39.0,81.0,"ST, RW"
0.4963362641499194,1995_left,424_right,2442,Kevin Gameiro,29,1575,6,5.3250727113336325,2,2.7924106381833558,19,13,0,0,F S,Valencia,6,4.5817951019853345,8.176697315648196,2.444371892139316,K. Gameiro,Kévin Gameiro,Valencia CF,Spain Primera Division,86.0,79.0,74.0,75.0,43.0,67.0,ST
0.640736191355161,1996_left,193_right,2571,Sergio Canales,36,3177,6,6.674360343255103,6,5.8867898704484105,52,79,5,0,M,Real Betis,3,3.701505639590323,13.783812135457993,8.091817891225219,Canales,Sergio Canales Madrazo,Real Betis,Spain Primera Division,78.0,80.0,83.0,83.0,65.0,68.0,"CM, LM, RM"
0.3407509843974041,1997_left,590_right,5657,Karl Toko Ekambi,18,990,6,7.8541833413764826,2,1.561700750142336,39,9,0,0,F M S,Villarreal,6,7.8541833413764826,11.42269016802311,2.7356362724676733,K. Toko-Ekambi,Karl Brillant Toko Ekambi,Olympique Lyonnais,French Ligue 1,81.0,79.0,67.0,78.0,27.0,69.0,"ST, LM"
0.2136859867919029,1998_left,967_right,6219,Enes Ünal,35,2322,6,9.36759012658149,2,2.8556139897555117,60,27,4,0,F S,Real Valladolid,4,7.138013643212616,11.586126420646904,2.6276370026171207,E. Ünal,Enes Ünal,Getafe CF,Spain Primera Division,69.0,77.0,64.0,76.0,36.0,77.0,ST
0.8219684580571969,1999_left,330_right,7887,Luuk de Jong,35,2057,6,10.174598336685447,1,3.2320884773507714,57,24,2,0,F S,Sevilla,6,10.174598336685447,12.996515901759267,2.932672237977385,L. de Jong,Luuk de Jong,Sevilla FC,Spain Primera Division,55.0,78.0,70.0,69.0,50.0,76.0,ST
0.5588778604405208,2000_left,202_right,7892,João Félix,27,1784,6,7.972747581079602,1,2.6083261314779516,64,15,6,0,F M S,Atletico Madrid,6,7.972747581079602,11.141765316948296,2.4849831741303205,João Félix,João Félix Sequeira,Atlético Madrid,Spain Primera Division,81.0,81.0,74.0,83.0,40.0,69.0,"CF, ST"
0.4211662494293328,2001_left,322_right,802,Diego Costa,23,1344,5,6.850637339055537,4,3.480903608724475,35,15,5,0,F S,Atletico Madrid,3,4.620804503560066,8.023851800709963,2.7722165398299694,Diego Costa,Diego da Silva Costa,Atlético Madrid,Spain Primera Division,73.0,79.0,65.0,74.0,48.0,86.0,ST
-0.13793836828492936,2002_left,1751_right,1732,Nolito,22,1222,5,4.1474758610129365,1,1.0866438103839755,37,16,0,1,F M S,"Celta Vigo,Sevilla",4,3.4041982516646385,6.3958352245390415,2.3920149942860007,Alex Pozo,Alejandro Pozo Pozo,Sevilla FC,Spain Primera Division,73.0,69.0,67.0,74.0,66.0,45.0,"RB, RM, LM"
0.10248322213377595,2003_left,374_right,2106,Munir,21,1256,5,3.245517086237669,2,2.10975949279964,43,17,1,0,F S,Sevilla,5,3.245517086237669,6.342883046716452,2.3548301905393596,Munir,Munir El Haddadi Mohamed,Sevilla FC,Spain Primera Division,80.0,78.0,75.0,82.0,35.0,66.0,"ST, RW, LW"
